a,count
2.564000000000001,7237
2.5680000000000005,7421
2.572000000000001,7586
2.5760000000000005,7919
2.580000000000001,7436
2.5840000000000005,7413
2.588000000000001,7423
2.5920000000000005,7356
2.596000000000001,7533
2.6000000000000005,7366
2.604000000000001,7412
2.6080000000000005,7478
2.612000000000001,7473
2.6160000000000005,7530
2.620000000000001,7462
2.6240000000000006,7457
2.628000000000001,7483
2.6320000000000006,7258
2.636000000000001,7517
2.6400000000000006,8072
2.644000000000001,7874
2.6480000000000006,6932
2.652000000000001,6644
2.6560000000000006,6447
2.660000000000001,6496
2.6640000000000006,6650
2.668000000000001,6673
2.6720000000000006,6565
2.676000000000001,6510
2.6800000000000006,6416
2.684000000000001,6423
2.6880000000000006,6356
2.692000000000001,6312
2.6960000000000006,6055
2.700000000000001,5201
2.7040000000000006,4758
2.708000000000001,5325
2.7120000000000006,5582
2.716000000000001,5731
2.7200000000000006,5700
2.724000000000001,5781
2.7280000000000006,5745
2.732000000000001,6019
2.7360000000000007,5912
2.740000000000001,6054
2.7440000000000007,6136
2.748000000000001,6019
2.7520000000000007,5828
2.756000000000001,6055
2.7600000000000007,5994
2.764000000000001,6208
2.7680000000000007,5955
2.772000000000001,5716
2.7760000000000007,5644
2.780000000000001,5338
2.7840000000000007,4985
2.788000000000001,4699
2.7920000000000007,4399
2.796000000000001,4258
2.8000000000000007,3914
2.804000000000001,3610
2.8080000000000007,2907
2.812000000000001,2245
2.8160000000000007,998
2.820000000000001,244
2.8240000000000007,189
2.828000000000001,643
2.8320000000000007,1240
2.836000000000001,1494
2.8400000000000007,1499
2.844000000000001,1651
2.8480000000000008,1832
2.852000000000001,1993
2.8560000000000008,2250
2.860000000000001,2664
2.8640000000000008,3039
2.868000000000001,2681
2.8720000000000008,2094
2.8760000000000012,1894
2.880000000000001,1806
2.8840000000000012,1624
2.888000000000001,1726
2.8920000000000012,1662
2.896000000000001,1679
2.9000000000000012,1711
2.904000000000001,1722
2.9080000000000013,1795
2.912000000000001,1751
2.9160000000000013,1725
2.920000000000001,1704
2.9240000000000013,1635
2.928000000000001,1607
2.9320000000000013,1595
2.936000000000001,1550
2.9400000000000013,1515
2.944000000000001,1426
2.9480000000000013,1269
2.952000000000001,740
2.9560000000000013,832
2.960000000000001,1940
2.9640000000000013,2656
2.968000000000001,3026
2.9720000000000013,3108
2.976000000000001,3380
2.9800000000000013,3596
2.984000000000001,3711
2.9880000000000013,3822
2.992000000000001,3822
2.9960000000000013,3825
3.000000000000001,3938
3.0040000000000013,4119
3.008000000000001,3931
3.0120000000000013,4165
3.016000000000001,4111
3.0200000000000014,4088
3.024000000000001,3627
3.0280000000000014,3804
3.032000000000001,4255
3.0360000000000014,4777
3.040000000000001,4975
3.0440000000000014,5295
3.048000000000001,5414
3.0520000000000014,5570
3.056000000000001,5688
3.0600000000000014,5900
3.064000000000001,5777
3.0680000000000014,5833
3.072000000000001,5658
3.0760000000000014,5723
3.080000000000001,6145
3.0840000000000014,6208
3.088000000000001,6380
3.0920000000000014,6459
3.096000000000001,6456
3.1000000000000014,6474
3.104000000000001,6321
3.1080000000000014,6406
3.112000000000001,6640
3.1160000000000014,6560
3.120000000000001,6745
3.1240000000000014,6629
3.128000000000001,6776
3.1320000000000014,6613
3.136000000000001,6666
3.1400000000000015,6624
3.144000000000001,6643
3.1480000000000015,6798
3.152000000000001,6687
3.1560000000000015,6866
3.160000000000001,7150
3.1640000000000015,7275
3.168000000000001,7169
3.1720000000000015,6796
3.176000000000001,5919
3.1800000000000015,5350
3.184000000000001,4984
3.1880000000000015,4650
3.192000000000001,4278
3.1960000000000015,4070
3.200000000000001,3788
3.2040000000000015,3309
3.208000000000001,3058
3.2120000000000015,2769
3.216000000000001,2506
3.2200000000000015,2077
3.224000000000001,1861
3.2280000000000015,1654
3.232000000000001,1410
3.2360000000000015,1228
3.240000000000001,994
3.2440000000000015,837
3.248000000000001,636
3.2520000000000016,429
3.256000000000001,309
3.2600000000000016,204
3.264000000000001,125
3.2680000000000016,91
3.272000000000001,80
3.2760000000000016,57
3.280000000000001,71
3.2840000000000016,53
3.288000000000001,51
