ageGyr,logL/Lsun,logR/Rsun,L/Lsun,R/Rsun,logTeff,Teff,logTcore,logrho_core,logPcore,Xcore,Ycore,Zcore
2.35560437E-04,7.05504071E-01,5.77420813E-01,5.07579496967428,3.77938219727083,3.64929292E+00,4459.56932995254,6.31588645E+00,-7.78437320E-01,1.36643822E+01,7.07846923E-01,2.73337785E-01,1.87845200E-02
2.41474107E-04,7.00084529E-01,5.74513707E-01,5.01284791806228,3.75416803015248,3.64939159E+00,4460.58264168908,6.31872921E+00,-7.69903640E-01,1.36757625E+01,7.07846863E-01,2.73337676E-01,1.87845200E-02
2.47451371E-04,6.94819183E-01,5.71692860E-01,4.95243954773482,3.72986282636915,3.64948568E+00,4461.54913264205,6.32148800E+00,-7.61621901E-01,1.36868066E+01,7.07846798E-01,2.73337557E-01,1.87845200E-02
2.53538920E-04,6.89668242E-01,5.68938264E-01,4.89404819693724,3.70628032375875,3.64957524E+00,4462.46928604031,6.32418234E+00,-7.53533568E-01,1.36975925E+01,7.07846726E-01,2.73337427E-01,1.87845200E-02
2.59785793E-04,6.84604185E-01,5.66232084E-01,4.83731295019678,3.68325751821347,3.64966232E+00,4463.36414149514,6.32682964E+00,-7.45586360E-01,1.37081902E+01,7.07846647E-01,2.73337284E-01,1.87845200E-02
2.66245132E-04,6.79595025E-01,5.63558097E-01,4.78183982864463,3.66064906988327,3.64974702E+00,4464.23471164048,6.32944582E+00,-7.37732756E-01,1.37186631E+01,7.07846559E-01,2.73337125E-01,1.87845200E-02
2.72979407E-04,6.74606563E-01,5.60899893E-01,4.72722814843455,3.63831161600441,3.64982901E+00,4465.07758939267,6.33204683E+00,-7.29924780E-01,1.37290752E+01,7.07846461E-01,2.73336949E-01,1.87845200E-02
2.80065575E-04,6.69610837E-01,5.58239664E-01,4.67316200480752,3.61609360540148,3.64991019E+00,4465.91229693222,6.33465015E+00,-7.22109990E-01,1.37394966E+01,7.07846350E-01,2.73336752E-01,1.87845200E-02
2.87599413E-04,6.64566966E-01,5.55557814E-01,4.61920212151289,3.5938323526205,3.64999015E+00,4466.73461275091,6.33727493E+00,-7.14230923E-01,1.37500038E+01,7.07846225E-01,2.73336532E-01,1.87845200E-02
2.95709462E-04,6.59430077E-01,5.52829909E-01,4.56488747927323,3.57132939999038,3.65006988E+00,4467.55471399063,6.33994509E+00,-7.06215818E-01,1.37606926E+01,7.07846082E-01,2.73336281E-01,1.87845200E-02
