ageGyr,Lsun,ppI,ppII,ppIII,CNO,3Alpha,HeC,KH,ppTotal,HHe
2.02302616E-03,1.255558557,6.73847016816274e-06,4.8757352704859e-16,6.28932671172705e-29,2.48472251881414e-16,0,0,0.999993264,6.73847016865031e-06,6.73847016889878e-06
2.13487669E-03,1.203161506,8.41460090988017e-06,8.67200592038876e-16,1.61928416998448e-28,4.56416972643117e-16,0,0,0.999991584,8.41460091074737e-06,8.41460091120379e-06
2.25315459E-03,1.15297588,1.04858576087879e-05,1.52310436068084e-15,4.05880764961576e-28,8.2695701172791e-16,0,0,0.999989514,1.0485857610311e-05,1.0485857611138e-05
2.37829368E-03,1.104894921,1.30406052464274e-05,2.64147933459257e-15,9.91607119777373e-28,1.47789631336499e-15,0,0,0.999986957,1.30406052490689e-05,1.30406052505468e-05
2.51072459E-03,1.058915905,1.61841763096374e-05,4.52430332605701e-15,2.36482747940774e-27,2.60593024200495e-15,0,0,0.999983819,1.61841763141617e-05,1.61841763167676e-05
2.65118038E-03,1.014862854,2.00525799352055e-05,7.66450897333474e-15,5.52348342316557e-27,4.54093386366402e-15,0,0,0.999979944,2.005257994287e-05,2.0052579947411e-05
2.80019178E-03,0.972695204,2.48048522262609e-05,1.28498448915367e-14,1.26563129411396e-26,7.82500086107995e-15,0,0,0.999975196,2.48048522391107e-05,2.48048522469357e-05
2.95848612E-03,0.932336566,3.06396342693669e-05,2.13451037152009e-14,2.85196026499321e-26,1.33516793754226e-14,0,0,0.999969361,3.0639634290712e-05,3.06396343040636e-05
3.12688922E-03,0.893736436,3.78015134245476e-05,3.51741049355751e-14,6.3355678801352e-26,2.2588372228026e-14,0,0,0.999962199,3.78015134597217e-05,3.78015134823101e-05
3.30645323E-03,0.85676909,4.66017463342405e-05,5.75941800129705e-14,1.39159811423175e-25,3.79568279002068e-14,0,0,0.999953398,4.66017463918347e-05,4.66017464297915e-05
3.49810520E-03,0.821427987,5.74129749246059e-05,9.37937734676602e-14,3.02778333635565e-25,6.34154732325811e-14,0,0,0.999942587,5.74129750183996e-05,5.74129750818151e-05
3.70324559E-03,0.787624462,7.07222908679889e-05,1.52198989208201e-13,6.546723062111e-25,1.05549820130509e-13,0,0,0.999929277,7.07222910201879e-05,7.07222911257377e-05
3.92336427E-03,0.755294519,8.71418713685923e-05,2.46484647211979e-13,1.41069903663024e-24,1.75315990927295e-13,0,0,0.999912858,8.7141871615077e-05,8.7141871790393e-05
4.16018340E-03,0.724379661,0.000107455,3.99062410793187e-13,3.03827051936561e-24,2.91116940801669e-13,0,0,0.999892546,0.000107455,0.000107455
4.41572657E-03,0.694853562,0.000132666,6.47051862086492e-13,6.56080958784661e-24,4.84195795382369e-13,0,0,0.999867334,0.000132666,0.000132666
4.69267567E-03,0.666651867,0.000164125,1.05334893263313e-12,1.42652240765448e-23,8.08791365236801e-13,0,0,0.999835876,0.000164125,0.000164125
4.98884580E-03,0.640151936,0.0002029,1.71209325320276e-12,3.09642709754467e-23,1.34890638917374e-12,0,0,0.9997971,0.0002029,0.0002029
5.30042335E-03,0.615689836,0.00024988,2.76069631383597e-12,6.64290300499938e-23,2.23114904657124e-12,0,0,0.999750121,0.00024988,0.00024988
5.62763470E-03,0.593194812,0.000306576,4.41949627260621e-12,1.41054551431208e-22,3.66290189413676e-12,0,0,0.999693425,0.000306576,0.000306576
5.97063938E-03,0.572593532,0.000374734,7.02920879204232e-12,2.96854853356433e-22,5.97321995158506e-12,0,0,0.999625266,0.000374734,0.000374734
6.32952081E-03,0.553784824,0.000456393,1.11158811774611e-11,6.2002267523627e-22,9.68321542750758e-12,0,0,0.999543608,0.000456393,0.000456393
6.70429763E-03,0.536700086,0.000553875,1.74892954598059e-11,1.28679136788056e-21,1.56156879535889e-11,0,0,0.999446124,0.000553875,0.000553875
7.09491253E-03,0.521286495,0.000669833,2.73942216607115e-11,2.65669752157762e-21,2.50676444118888e-11,0,0,0.999330166,0.000669833,0.000669833
7.50122631E-03,0.507454641,0.000807349,4.27450456370185e-11,5.46265347585993e-21,4.00838450288064e-11,0,0,0.999192652,0.000807349,0.000807349
7.92302118E-03,0.495167242,0.000969887,6.64809236349954e-11,1.11979599214461e-20,6.3882459740495e-11,0,0,0.999030114,0.000969887,0.000969887
8.35997860E-03,0.484345976,0.001161461,1.03117299545679e-10,2.29065080494993e-20,1.01529753993612e-10,0,0,0.998838539,0.001161461,0.001161461
8.81171842E-03,0.474959913,0.001386563,1.59590415715831e-10,4.68021466872219e-20,1.60999974674895e-10,0,0,0.998613438,0.001386563,0.001386563
9.27777140E-03,0.466952318,0.001650368,2.46574601865489e-10,9.55964779290902e-20,2.54861302343274e-10,0,0,0.998349631,0.001650369,0.001650369
9.75760567E-03,0.460307356,0.001958657,3.80503952015435e-10,1.95365872778337e-19,4.02928331881048e-10,0,0,0.998041342,0.001958658,0.001958658
1.02506014E-02,0.454968125,0.002318123,5.86731930002508e-10,3.99766172736361e-19,6.36486272696317e-10,0,0,0.997681877,0.002318123,0.002318124
1.07561098E-02,0.450929281,0.002736186,9.0441625599874e-10,8.19639199784557e-19,1.00497380884636e-09,0,0,0.997263813,0.002736187,0.002736188
1.12733984E-02,0.448126541,0.003221574,1.39425204151519e-09,1.68496190628701e-18,1.58673050506871e-09,0,0,0.996778422,0.003221576,0.003221577
1.18017172E-02,0.446396975,0.003785081,2.15083956582238e-09,3.47546483671352e-18,2.50644456064202e-09,0,0,0.996214916,0.003785083,0.003785086
1.23403613E-02,0.445840462,0.004437215,3.32066150668498e-09,7.19506458931446e-18,3.96138944504603e-09,0,0,0.995562776,0.004437218,0.004437222
1.28885584E-02,0.446502856,0.005190111,5.13230146227859e-09,1.49577041724813e-17,6.2655446730855e-09,0,0,0.994809879,0.005190116,0.005190122
1.34454720E-02,0.448392853,0.00605778,7.94360979141514e-09,3.12407117919295e-17,9.91967351198463e-09,0,0,0.993942202,0.006057788,0.006057798
1.40102460E-02,0.451514366,0.007056144,1.23164202481151e-08,6.5583578792473e-17,1.57237014461663e-08,0,0,0.992943828,0.007056156,0.007056172
1.45820417E-02,0.455852152,0.008203643,1.91369091253956e-08,1.38447407952185e-16,2.49591703357881e-08,0,0,0.991796312,0.008203662,0.008203687
1.51600453E-02,0.461428436,0.009520731,2.98067980260219e-08,2.94009881856933e-16,3.96815214781499e-08,0,0,0.990479199,0.009520761,0.0095208
1.57434579E-02,0.468245961,0.011031054,4.65554932914933e-08,6.28362398084668e-16,6.31979304883139e-08,0,0,0.988968836,0.011031101,0.011031164
1.63315162E-02,0.476362554,0.012760406,7.29402252802007e-08,1.35203696777278e-15,1.00834262689064e-07,0,0,0.987239421,0.012760479,0.01276058
1.69234881E-02,0.485742797,0.014740323,1.14680337566691e-07,2.93008340951378e-15,1.61205244682078e-07,0,0,0.985259401,0.014740438,0.014740599
1.75187506E-02,0.496357421,0.017007278,1.81021956304612e-07,6.39853000742559e-15,2.58277228634509e-07,0,0,0.982992283,0.017007459,0.017007718
1.81167649E-02,0.508219766,0.019602069,2.86991606234766e-07,1.40854251785682e-14,4.14728975631458e-07,0,0,0.980397228,0.019602356,0.019602771
1.87170720E-02,0.521371453,0.022570592,4.57168709132427e-07,3.1270266939646e-14,6.67470415212593e-07,0,0,0.977428283,0.022571049,0.022571717
1.93193020E-02,0.535862155,0.025965199,7.32060574915974e-07,7.00462129581765e-14,1.07674166202275e-06,0,0,0.974032992,0.025965931,0.025967008
1.99231841E-02,0.551737109,0.029846415,1.17898484854533e-06,1.58415357893538e-13,1.74117984483679e-06,0,0,0.970150664,0.029847594,0.029849335
2.05285577E-02,0.5689781,0.034287779,1.91093660589304e-06,3.61978263937251e-13,2.82300949523265e-06,0,0,0.965707488,0.03428969,0.034292513
2.11354077E-02,0.587618914,0.039372731,3.1190505057181e-06,8.36216198167261e-13,4.58948351906974e-06,0,0,0.960619561,0.03937585,0.03938044
2.17438850E-02,0.60767269,0.045201165,5.13012588758476e-06,1.95441220057819e-12,7.48283081027978e-06,0,0,0.954786222,0.045206296,0.045213778
2.23543180E-02,0.629257886,0.05188571,8.50799913397243e-06,4.62480807038927e-12,1.2236567502872e-05,0,0,0.948093547,0.051894218,0.051906454
2.29671803E-02,0.65223,0.059584757,1.42404617156769e-05,1.10914921361518e-11,2.00784934650211e-05,0,0,0.940380922,0.059598998,0.059619076
2.35832570E-02,0.676596466,0.06848729,2.40733894135926e-05,2.69839334367816e-11,3.30678360394812e-05,0,0,0.931455569,0.068511363,0.068544431
2.42036730E-02,0.702311308,0.078850322,4.1136228019723e-05,6.66718927596822e-11,5.46882628421684e-05,0,0,0.921053853,0.078891458,0.078946147
2.48292006E-02,0.729302054,0.091020223,7.10651940178776e-05,1.67359492885673e-10,9.08302973947925e-05,0,0,0.90881788,0.091091288,0.091182118
2.54282999E-02,0.756146994,0.104686797,0.000120594,4.06849705728942e-10,0.000147573,0,0,0.895045035,0.104807391,0.104954964
2.59213641E-02,0.779011543,0.11781687,0.000186965,8.4896993215968e-10,0.000219855,0,0,0.881776309,0.118003837,0.118223692
2.63251108E-02,0.798181173,0.130205985,0.000268103,1.55453135378856e-09,0.000304606,0,0,0.869221305,0.13047409,0.130778696
2.66593062E-02,0.814264909,0.141880156,0.000361413,2.56858784903892e-09,0.000398969,0,0,0.857359461,0.142241571,0.142640539
2.69408254E-02,0.827936348,0.152940029,0.000464628,3.92431586910907e-09,0.000500892,0,0,0.846094447,0.15340466,0.153905553
2.71830204E-02,0.839707689,0.163534594,0.000576349,5.65359240452533e-09,0.000609405,0,0,0.835279645,0.164110949,0.164720354
2.73958184E-02,0.850002007,0.173805671,0.000695911,7.79364905231777e-09,0.000724322,0,0,0.824774087,0.17450159,0.175225912
2.75864381E-02,0.859161705,0.18387144,0.000823151,1.03905951856333e-08,0.000845964,0,0,0.814459435,0.184694601,0.185540566
2.77601610E-02,0.867416349,0.193837904,0.000958296,1.35024924411475e-08,0.000975044,0,0,0.804228743,0.194796214,0.195771258
2.79209451E-02,0.874959948,0.203793669,0.001101863,1.72023637666963e-08,0.001112582,0,0,0.793991869,0.204895549,0.206008131
2.80718033E-02,0.881952095,0.213813145,0.001254568,2.15805046543042e-08,0.001259858,0,0,0.783672408,0.215067734,0.216327593
2.82151258E-02,0.8884661,0.223976629,0.001417433,2.67508494739736e-08,0.001418542,0,0,0.773187369,0.225394089,0.226812631
2.83528847E-02,0.894603315,0.234356951,0.001591728,3.28568383362139e-08,0.001590691,0,0,0.762460598,0.235948712,0.237539402
2.84867469E-02,0.90044604,0.245021387,0.001778949,4.00776003344343e-08,0.001778793,0,0,0.751420829,0.246800377,0.24857917
2.86182182E-02,0.906022365,0.256055272,0.001981062,4.86442945690496e-08,0.001986095,0,0,0.739977523,0.258036382,0.260022477
2.87487199E-02,0.911409624,0.267536471,0.002200377,5.88523039460332e-08,0.002216603,0,0,0.72804649,0.269736906,0.271953509
2.88796667E-02,0.916633276,0.279567063,0.002439883,7.10898801037015e-08,0.002475605,0,0,0.715517378,0.282007018,0.284482623
2.90121331E-02,0.921708215,0.292221994,0.002702453,8.58194553836948e-08,0.002769042,0,0,0.702306427,0.294924532,0.297693574
2.91463276E-02,0.926647651,0.305474212,0.002989092,1.03446072721318e-07,0.003101555,0,0,0.688435038,0.308463408,0.311564963
2.92536833E-02,0.930416805,0.31639562,0.003234254,1.19903443657595e-07,0.003394973,0,0,0.676975032,0.319629994,0.323024967
2.93395678E-02,0.933357164,0.325332629,0.003441011,1.34801106018372e-07,0.003648062,0,0,0.667578163,0.328773774,0.332421836
2.94082754E-02,0.935647182,0.332607206,0.00361337,1.47934392077048e-07,0.003862778,0,0,0.659916498,0.336220724,0.340083502
2.94751262E-02,0.937793772,0.33976523,0.003786402,1.61720575954124e-07,0.004082739,0,0,0.652365467,0.343551794,0.347634534
2.95494168E-02,0.940095875,0.347771359,0.003984111,1.78183265562221e-07,0.004340323,0,0,0.643904029,0.351755648,0.356095971
2.96328402E-02,0.942583711,0.356879765,0.004214092,1.98322386478005e-07,0.00464618,0,0,0.634259765,0.361094055,0.365740235
2.97198589E-02,0.945021427,0.366522805,0.004463294,2.21367216693829e-07,0.004984507,0,0,0.624029172,0.370986321,0.375970828
2.98082314E-02,0.947367575,0.376455891,0.004726219,2.47078234541491e-07,0.005348529,0,0,0.613469114,0.381182357,0.386530886
2.98972414E-02,0.949587439,0.386613802,0.005001426,2.75529408157712e-07,0.005736314,0,0,0.602648182,0.391615504,0.397351818
2.99866802E-02,0.95165099,0.396990613,0.005288858,3.06912126354183e-07,0.006147677,0,0,0.591572545,0.402279778,0.408427455
