#
# Solar evolution from Bahcall, Pinsonneault, & Basu 2001, ApJ, 555, 990
# Numbers from M. Pinsonneaults (private copy)
#
# extracted from m1000b.dat and converted into an ascii table with the
# subset of information on energy production.
#
# ageGyr = age in Gyr
# Lsun = luminosity in Lsun
# fraction of total energy generation from...
#   ppI = pp I cycle
#   ppII = pp II cycle
#   ppIII = pp III cycle
#   CNO = CNO cycle
#   3Alpha = triple-alpha process (3x 4He -> 12C)
#   HeC = 4He+12C -> 16O
#   KH = Kelvin-Helmholtz
#   ppTotal = total pp (I+II+III)
#   HHe = 
#
ageGyr         Lsun             ppI   ppII  ppIII  CNO  3Alpha HeC  KH  ppTotal  HHe
1.98099419E-04 5.55859014355771 0.0838724372474792 2.82161350179373e-27 0 5.62110400174274e-28 0 0 0.916127560853171 0.0838724372474792 0.0838724372474792
2.05048196E-04 5.45702063483348 0.097352569936949 4.13016981393323e-27 0 8.3841841110055e-28 0 0 0.902647429727065 0.097352569936949 0.097352569936949
2.11517233E-04 5.36767347415023 0.111100231389244 5.80443289817148e-27 0 1.19747267246311e-27 0 0 0.888899766906063 0.111100231389244 0.111100231389244
2.17709843E-04 5.28664909786868 0.125327767123245 7.93800721839443e-27 0 1.66109093443337e-27 0 0 0.874672234603996 0.125327767123245 0.125327767123245
2.23733548E-04 5.21183694347833 0.140136056618947 1.06388867114086e-26 0 2.25466309238706e-27 0 0 0.859863944056758 0.140136056618947 0.140136056618947
2.29664091E-04 5.14189824533729 0.155600925344161 1.40398893862717e-26 0 3.0094239640063e-27 0 0 0.844399074590243 0.155600925344161 0.155600925344161
2.35560437E-04 5.07579496967428 0.171787952273406 1.8305987132093e-26 0 3.96410444476468e-27 0 0 0.828212046608684 0.171787952273406 0.171787952273406
2.41474107E-04 5.01284791806228 0.188756266391133 2.36446048109548e-26 0 5.16725063744058e-27 0 0 0.811243733396955 0.188756266391133 0.188756266391133
2.47451371E-04 4.95243954773482 0.206561760146653 3.03175086849217e-26 0 6.67986314242464e-27 0 0 0.793438238291526 0.206561760146653 0.206561760146653
2.53538920E-04 4.89404819693724 0.225264820785772 3.86611533818588e-26 0 8.57989562225361e-27 0 0 0.774735177796743 0.225264820785772 0.225264820785772
2.59785793E-04 4.83731295019678 0.244914048811294 4.91102174793831e-26 0 1.09673995968861e-26 0 0 0.755085951148027 0.244914048811294 0.244914048811294
2.66245132E-04 4.78183982864463 0.26556593602173 6.22366973099461e-26 0 1.39729644016409e-26 0 0 0.734434062170466 0.26556593602173 0.26556593602173
2.72979407E-04 4.72722814843455 0.28727780368496 7.88074639730195e-26 0 1.77700633145489e-26 0 0 0.712722196646195 0.28727780368496 0.28727780368496
2.80065575E-04 4.67316200480752 0.310101021216295 9.98747489429749e-26 0 2.2594320053826e-26 0 0 0.689898982034712 0.310101021216295 0.310101021216295
2.87599413E-04 4.61920212151289 0.334089567722696 1.26918367626656e-25 0 2.8773355333598e-26 0 0 0.665910431949783 0.334089567722696 0.334089567722696
2.95709462E-04 4.56488747927323 0.359292435453661 1.62099742953097e-25 0 3.6779956299543e-26 0 0 0.640707564705549 0.359292435453661 0.359292435453661
3.04574090E-04 4.50963434110222 0.385747798695098 2.08712928101827e-25 0 4.73254742751131e-26 0 0 0.614252203277962 0.385747798695098 0.385747798695098
3.14456466E-04 4.45255300311339 0.41348147202575 2.72088116447549e-25 0 6.154586678887e-26 0 0 0.586518527275012 0.41348147202575 0.41348147202575
