JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR,Notes
2333400.5,1676-Jul-13,1.963401895139206E+00,-4.757007146876274E+00,-2.556369689619665E-02,6.890856620051067E-03,3.233284114565655E-03,-1.678042292307520E-04,2.972272607764966E-02,5.146330488791715E+00,-3.588858122303021E-04,
2333401.5,1676-Jul-14,1.970289883316536E+00,-4.753768391400985E+00,-2.573147174866564E-02,6.885173991844270E-03,3.243411439564195E-03,-1.677741539298887E-04,2.972065024712462E-02,5.145971069877962E+00,-3.591782813589682E-04,
2333402.5,1676-Jul-15,1.977173475855536E+00,-4.750520184100376E+00,-2.589922373097287E-02,6.881813721528668E-03,3.253709295198286E-03,-1.677070944719789E-04,2.971857917588163E-02,5.145612475008353E+00,-3.587383716620257E-04,
2333403.5,1676-Jul-16,1.984052659292729E+00,-4.747261428277669E+00,-2.606691262903685E-02,6.877016037261609E-03,3.263331174903869E-03,-1.676803810202371E-04,2.971650699118637E-02,5.145253687350459E+00,-3.582239982217503E-04,
2333404.5,1676-Jul-17,1.990928017716781E+00,-4.743992690855052E+00,-2.623454693314550E-02,6.873066517370607E-03,3.274347020128162E-03,-1.675898681517217E-04,2.971443803118531E-02,5.144895458031058E+00,-3.586663722398411E-04,
2333405.5,1676-Jul-18,1.997798764504925E+00,-4.740713755948370E+00,-2.640213069372715E-02,6.869204405246178E-03,3.283631687202100E-03,-1.675638757681822E-04,2.971236940472403E-02,5.144537286462280E+00,-3.574754519801371E-04,
2333406.5,1676-Jul-19,2.004666144424455E+00,-4.737424177463705E+00,-2.656963429005411E-02,6.864818125831917E-03,3.295321070076998E-03,-1.674602460400952E-04,2.971030154574845E-02,5.144179247779530E+00,-3.586997612306824E-04,
2333407.5,1676-Jul-20,2.011528732953309E+00,-4.734123912081233E+00,-2.673707342366695E-02,6.860679486794554E-03,3.305659419181552E-03,-1.673966830185947E-04,2.970823104726545E-02,5.143820752080240E+00,-3.585800862369975E-04,
2333408.5,1676-Jul-21,2.018386496184144E+00,-4.730812653420058E+00,-2.690443337342091E-02,6.854695951072340E-03,3.316048875080017E-03,-1.673543375337078E-04,2.970615621189444E-02,5.143461505472066E+00,-3.592284415671625E-04,
2333409.5,1676-Jul-22,2.025239371396953E+00,-4.727492017902035E+00,-2.707177264033948E-02,6.851059331320381E-03,3.325953421016266E-03,-1.672978446466023E-04,2.970408549023581E-02,5.143102971131111E+00,-3.585100507102697E-04,
2333410.5,1676-Jul-23,2.032087680295389E+00,-4.724160969276773E+00,-2.723904864021658E-02,6.845884056045541E-03,3.335557172527170E-03,-1.672698280325256E-04,2.970201411029543E-02,5.142744322812206E+00,-3.581193167764476E-04,
2333411.5,1676-Jul-24,2.038931877879230E+00,-4.720820254083123E+00,-2.740627790146860E-02,6.841968576447760E-03,3.346238057283669E-03,-1.671831932678935E-04,2.969994708403447E-02,5.142386428309524E+00,-3.582186431274474E-04,
2333412.5,1676-Jul-25,2.045771338806059E+00,-4.717469459840880E+00,-2.757345482851054E-02,6.837735555979526E-03,3.355253526081525E-03,-1.671643191692997E-04,2.969788080365541E-02,5.142028662952290E+00,-3.569123081662748E-04,
2333413.5,1676-Jul-26,2.052607411541759E+00,-4.714108461341787E+00,-2.774056061785465E-02,6.833643314207397E-03,3.366739521713269E-03,-1.670576962031797E-04,2.969581771941235E-02,5.141671450988849E+00,-3.578124536458662E-04,
2333414.5,1676-Jul-27,2.059438741787670E+00,-4.710736856584991E+00,-2.790759858449312E-02,6.829462152358212E-03,3.376808630975507E-03,-1.669992526910879E-04,2.969375260909696E-02,5.141313888221860E+00,-3.574450860768380E-04,
2333415.5,1676-Jul-28,2.066265461171128E+00,-4.707354374128679E+00,-2.807455361653768E-02,6.823634566951906E-03,3.387429965832572E-03,-1.669416500586067E-04,2.969168435316063E-02,5.140955780807486E+00,-3.582419510279678E-04,
2333416.5,1676-Jul-29,2.073087180807557E+00,-4.703962488272273E+00,-2.824148404563422E-02,6.820008092217935E-03,3.397066966084630E-03,-1.668905322359815E-04,2.968961985650762E-02,5.140598324292844E+00,-3.572523814296109E-04,
2333417.5,1676-Jul-30,2.079904507928186E+00,-4.700560170010341E+00,-2.840834456544816E-02,6.814795131810370E-03,3.406929551713695E-03,-1.668505747578451E-04,2.968755509539062E-02,5.140240821987681E+00,-3.571066711673364E-04,
2333418.5,1676-Jul-31,2.086717646706003E+00,-4.697148181555221E+00,-2.857515600973353E-02,6.811052333123297E-03,3.417556650284082E-03,-1.667599563110484E-04,2.968549459081017E-02,5.139884056678977E+00,-3.570628631057882E-04,
