JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR,Notes
2333401.5,1676-Jul-14,4.505725986990979E-01,-9.047809278790782E-01,-5.028242511898540E-04,1.508976277967068E-02,7.661958972729459E-03,6.883820396943810E-06,5.837687677215041E-03,1.010764288538337E+00,-1.319438984861071E-04,
2333402.5,1676-Jul-15,4.655966267834572E-01,-8.969909817958251E-01,-4.959193363076057E-04,1.495755441331572E-02,7.917521122865102E-03,6.923420672978000E-06,5.836912918030676E-03,1.010630143143950E+00,-1.363125768718573E-04,
2333403.5,1676-Jul-16,4.804862475055661E-01,-8.889467287339468E-01,-4.889814227499724E-04,1.482096648926213E-02,8.170554492211941E-03,6.951022321027439E-06,5.836113576890089E-03,1.010491741515782E+00,-1.404469804679969E-04,
2333404.5,1676-Jul-17,4.952371389992111E-01,-8.806507499620131E-01,-4.820187077007928E-04,1.468011668839209E-02,8.420957078512236E-03,6.974406723549234E-06,5.835291165068925E-03,1.010349345323099E+00,-1.442931993030062E-04,
2333405.5,1676-Jul-18,5.098451034523582E-01,-8.721057190863970E-01,-4.750311234784977E-04,1.453513487095422E-02,8.668646956112200E-03,7.002265958638738E-06,5.834447486391835E-03,1.010203266888459E+00,-1.478044828986410E-04,
2333406.5,1676-Jul-19,5.243060773171749E-01,-8.633143797278455E-01,-4.680096199838368E-04,1.438615884602880E-02,8.913566760687528E-03,7.043790063231195E-06,5.833584583850496E-03,1.010053859944905E+00,-1.509455580045863E-04,
2333407.5,1676-Jul-20,5.386161362885045E-01,-8.542795188417424E-01,-4.609359500444016E-04,1.423332801493550E-02,9.155687787623811E-03,7.108063435132212E-06,5.832704658629091E-03,1.009901505615664E+00,-1.536978521606873E-04,
2333408.5,1676-Jul-21,5.527714925971569E-01,-8.450039366054898E-01,-4.537831753588309E-04,1.407677430527623E-02,9.395012479516693E-03,7.203223970022628E-06,5.831809957265227E-03,1.009746592876665E+00,-1.560651511795243E-04,
2333409.5,1676-Jul-22,5.667684819435042E-01,-8.354904154445236E-01,-4.465171220725158E-04,1.391661068641878E-02,9.631573285802060E-03,7.335421992036268E-06,5.830902628125797E-03,1.009589493706104E+00,-1.580782385170077E-04,
2333410.5,1676-Jul-23,5.806035384713185E-01,-8.257416928992902E-01,-4.390989061124849E-04,1.375291921879821E-02,9.865425851905580E-03,7.507767279603217E-06,5.829984559476712E-03,1.009430535047088E+00,-1.597962142341673E-04,
2333411.5,1676-Jul-24,5.942731590232002E-01,-8.157604444773912E-01,-4.314883823077745E-04,1.358574225718274E-02,1.009663597592793E-02,7.719596623860927E-06,5.829057224971664E-03,1.009269972054845E+00,-1.613023452815361E-04,
2333412.5,1676-Jul-25,6.077738618340657E-01,-8.055492818541121E-01,-4.236480189537687E-04,1.341508065905214E-02,1.032526258575648E-02,7.966400885454752E-06,5.828121570504711E-03,1.009107968505855E+00,-1.626940446587720E-04,
2333413.5,1676-Jul-26,6.211021477864429E-01,-7.951107681433082E-01,-4.155464481232041E-04,1.324090068967106E-02,1.055134153304108E-02,8.240540811216574E-06,5.827177970916277E-03,1.008944589301724E+00,-1.640693060646904E-04,
2333414.5,1676-Jul-27,6.342544722455923E-01,-7.844474468028388E-01,-4.071609782939979E-04,1.306314765180330E-02,1.077487522130840E-02,8.532546100420737E-06,5.826226265216143E-03,1.008779806567860E+00,-1.655138319051834E-04,
2333415.5,1676-Jul-28,6.472272319673582E-01,-7.735618768236362E-01,-3.984786971809598E-04,1.288176152009568E-02,1.099583050890072E-02,8.832555111765368E-06,5.825265854435780E-03,1.008613516596078E+00,-1.670926980420673E-04,
2333416.5,1676-Jul-29,6.600167665845429E-01,-7.624566662289669E-01,-3.894962503125405E-04,1.269668980924745E-02,1.121414373905316E-02,9.131466297905309E-06,5.824295830273218E-03,1.008445562118766E+00,-1.688480357617196E-04,
2333417.5,1676-Jul-30,6.726193703934219E-01,-7.511344983685810E-01,-3.802187132346888E-04,1.250789511369296E-02,1.142972948129259E-02,9.421585217391880E-06,5.823315101888020E-03,1.008275754262758E+00,-1.708016538482585E-04,
2333418.5,1676-Jul-31,6.850313089487433E-01,-7.395981491214606E-01,-3.706580673924642E-04,1.231535736640772E-02,1.164248947282441E-02,9.696789238011317E-06,5.822322498917103E-03,1.008103890385967E+00,-1.729602318185703E-04,
