JDTDB,CalendarDate(TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,Note
2332711.500000000,A.D.1674-Aug-2400:00:00.0000,-2.950621244629047E+00,-4.490849664851019E+00,8.405841767966891E-02,6.225724619670352E-03,-3.792790010640618E-03,-1.253740237805012E-04,3.103821921713710E-02,5.374101065213752E+00,-2.507292482184172E-04,
2332721.500000000,A.D.1674-Sep-0300:00:00.0000,-2.888079618908875E+00,-4.528347419134170E+00,8.279680252047936E-02,6.282304850001471E-03,-3.705461176024816E-03,-1.269106805396591E-04,3.102361459367637E-02,5.371572353049295E+00,-2.559192638784410E-04,
2332731.500000000,A.D.1674-Sep-1300:00:00.0000,-2.824991733290330E+00,-4.564978954496486E+00,8.151942587373588E-02,6.336184092281646E-03,-3.621023549749623E-03,-1.285595552199004E-04,3.100880932180737E-02,5.369008899689898E+00,-2.570775183796001E-04,
2332741.500000000,A.D.1674-Sep-2300:00:00.0000,-2.761360144094342E+00,-4.600739668994785E+00,8.022650260691970E-02,6.389351526955711E-03,-3.531794380392388E-03,-1.300552137099794E-04,3.099379682723143E-02,5.366409566831021E+00,-2.617891910756757E-04,
2332751.500000000,A.D.1674-Oct-0300:00:00.0000,-2.697204083330758E+00,-4.635619500562542E+00,7.891823913544738E-02,6.441594303987914E-03,-3.443429609320082E-03,-1.315756482302082E-04,3.097859368344020E-02,5.363777224083796E+00,-2.651580543246928E-04,
2332761.500000000,A.D.1674-Oct-1300:00:00.0000,-2.632531270265510E+00,-4.669610630616782E+00,7.759487850003036E-02,6.492732702959357E-03,-3.355162064836997E-03,-1.331035488478999E-04,3.096319170160658E-02,5.361110453596758E+00,-2.677336329358440E-04,
2332771.500000000,A.D.1674-Oct-2300:00:00.0000,-2.567352070217742E+00,-4.702706940034822E+00,7.625664630509575E-02,6.542495481480629E-03,-3.263445315940116E-03,-1.345298000728536E-04,3.094759871999829E-02,5.358410612523895E+00,-2.724914680936924E-04,
2332781.500000000,A.D.1674-Nov-0200:00:00.0000,-2.501684091946814E+00,-4.734897685387802E+00,7.490378043240453E-02,6.591510437077069E-03,-3.174196743485299E-03,-1.360206284707330E-04,3.093181815052177E-02,5.355678291618493E+00,-2.745811768107339E-04,
2332791.500000000,A.D.1674-Nov-1200:00:00.0000,-2.435531391381928E+00,-4.766178421882127E+00,7.353651968622806E-02,6.639084136816373E-03,-3.082452042440227E-03,-1.374441619513856E-04,3.091584712667929E-02,5.352912994561855E+00,-2.780333961919513E-04,
2332801.500000000,A.D.1674-Nov-2200:00:00.0000,-2.368912461732998E+00,-4.796539286980755E+00,7.215512052763087E-02,6.684253406146922E-03,-2.989735357528716E-03,-1.388433865049014E-04,3.089969331985272E-02,5.350116049612578E+00,-2.811240613252451E-04,
2332811.500000000,A.D.1674-Dec-0200:00:00.0000,-2.301836274834042E+00,-4.825974249890445E+00,7.075979404481650E-02,6.730358381748456E-03,-2.897173992332733E-03,-1.402173113169881E-04,3.088335754003137E-02,5.347287597015963E+00,-2.843343848216889E-04,
2332821.500000000,A.D.1674-Dec-1200:00:00.0000,-2.234314211830261E+00,-4.854477110469047E+00,6.935080460637974E-02,6.773963092513382E-03,-2.802881421193182E-03,-1.415625126227198E-04,3.086684561341952E-02,5.344428645548010E+00,-2.878615997444558E-04,
2332831.500000000,A.D.1674-Dec-2200:00:00.0000,-2.166363444793428E+00,-4.882037683763700E+00,6.792842463233480E-02,6.816008669411774E-03,-2.709108860263670E-03,-1.429111628402881E-04,3.085015527888722E-02,5.341538803706205E+00,-2.901201812223605E-04,
2332841.500000000,A.D.1675-Jan-0100:00:00.0000,-2.097989561876502E+00,-4.908653323265998E+00,6.649285988288044E-02,6.858762010295194E-03,-2.613686794697762E-03,-1.441861706756392E-04,3.083329521110727E-02,5.338619573463582E+00,-2.939928690311801E-04,
2332851.500000000,A.D.1675-Jan-1100:00:00.0000,-2.029211606359153E+00,-4.934313485005832E+00,6.504443054248142E-02,6.897205515116845E-03,-2.518684056620606E-03,-1.455076200811185E-04,3.081626300248725E-02,5.335670537958438E+00,-2.956286799819032E-04,
