JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR
2332199.5,1673-Mar-30,-9.686372090296346E-01,-2.461302983256130E-01,-2.346517722019766E-04,3.988583324702156E-03,-1.672052263859539E-02,-1.218389805724722E-05,5.772162420027912E-03,9.994189419517872E-01,2.520863413467685E-04
2332200.5,1673-Mar-31,-9.645056815205241E-01,-2.628132862495633E-01,-2.467994600594508E-04,4.274226851561429E-03,-1.664464260192305E-02,-1.211088811666765E-05,5.773618144839014E-03,9.996709928894801E-01,2.520030379743132E-04
2332201.5,1673-Apr-01,-9.600892586018407E-01,-2.794179675226376E-01,-2.588723740158018E-04,4.558360576644538E-03,-1.656391458888163E-02,-1.203435493919246E-05,5.775073172189339E-03,9.999229230655831E-01,2.518448489642977E-04
2332202.5,1673-Apr-02,-9.553894906548654E-01,-2.959395101440724E-01,-2.708670049961016E-04,4.840903463745350E-03,-1.647837076951673E-02,-1.195432695935996E-05,5.776527070132232E-03,1.000174657690851E+00,2.516119710330291E-04
2332203.5,1673-Apr-03,-9.504080087252021E-01,-3.123731149363791E-01,-2.827798727004122E-04,5.121775223884304E-03,-1.638804461706527E-02,-1.187083330287468E-05,5.777979407923276E-03,1.000426122184200E+00,2.513046234367732E-04
2332204.5,1673-Apr-04,-9.451465237652467E-01,-3.287140168387711E-01,-2.946075263319584E-04,5.400896335829757E-03,-1.629297088846546E-02,-1.178390386571394E-05,5.779429756144461E-03,1.000677242194207E+00,2.509230459112684E-04
2332205.5,1673-Apr-05,-9.396068258564573E-01,-3.449574861812172E-01,-3.063465454160434E-04,5.678188065917451E-03,-1.619318560509911E-02,-1.169356941330977E-05,5.780877686817215E-03,1.000927943618679E+00,2.504674969372733E-04
2332206.5,1673-Apr-06,-9.337907834122592E-01,-3.610988299393362E-01,-3.179935407179622E-04,5.953572486944702E-03,-1.608872603371228E-02,-1.159986167351377E-05,5.782322773506998E-03,1.001178152622764E+00,2.499382525755589E-04
2332207.5,1673-Apr-07,-9.277003423625554E-01,-3.771333929702534E-01,-3.295451552412000E-04,6.226972496054457E-03,-1.597963066740499E-02,-1.150281340360479E-05,5.783764591423016E-03,1.001427795656216E+00,2.493356059393522E-04
2332208.5,1673-Apr-08,-9.213375253208529E-01,-3.930565592294477E-01,-3.409980652767778E-04,6.498311831632879E-03,-1.586593920661450E-02,-1.140245842433248E-05,5.785202717516614E-03,1.001676799470431E+00,2.486598672581580E-04
2332209.5,1673-Apr-09,-9.147044307349605E-01,-4.088637529685505E-01,-3.523489814686617E-04,6.767515089283705E-03,-1.574769253999201E-02,-1.129883161602178E-05,5.786636730581551E-03,1.001925091135810E+00,2.479113644241641E-04
2332210.5,1673-Apr-10,-9.078032320221238E-01,-4.245504399139035E-01,-3.635946498545672E-04,7.034507736987467E-03,-1.562493272509330E-02,-1.119196887699397E-05,5.788066211358337E-03,1.002172598059821E+00,2.470904438627164E-04
2332211.5,1673-Apr-11,-9.006361766893668E-01,-4.401121284257367E-01,-3.747318528525783E-04,7.299216129572367E-03,-1.549770296884875E-02,-1.108190705644814E-05,5.789490742644284E-03,1.002419248006060E+00,2.461974715638565E-04
2332212.5,1673-Apr-12,-8.932055854396679E-01,-4.555443706376704E-01,-3.857574101680540E-04,7.561567522559228E-03,-1.536604760779908E-02,-1.096868386283319E-05,5.790909909409609E-03,1.002664969114345E+00,2.452328341763939E-04
2332213.5,1673-Apr-13,-8.855138512645646E-01,-4.708427635763308E-01,-3.966681796011261E-04,7.821490085497991E-03,-1.523001208804424E-02,-1.085233775947767E-05,5.792323298919729E-03,1.002909689921901E+00,2.441969400005261E-04
2332214.5,1673-Apr-14,-8.775634385236164E-01,-4.860029502607416E-01,-4.074610577489123E-04,8.078912914926368E-03,-1.508964294485416E-02,-1.073290786025361E-05,5.793730500862533E-03,1.003153339385386E+00,2.430902197026682E-04
2332215.5,1673-Apr-15,-8.693568820110615E-01,-5.010206207811628E-01,-4.181329806077212E-04,8.333766047046064E-03,-1.494498778194959E-02,-1.061043383542972E-05,5.795131107478722E-03,1.003395846903467E+00,2.419131266399793E-04
2332216.5,1673-Apr-16,-8.608967860098777E-01,-5.158915133570381E-01,-4.286809240922097E-04,8.585980470263347E-03,-1.479609525043852E-02,-1.048495584308999E-05,5.796524713692504E-03,1.003637142339445E+00,2.406661366356476E-04
2332217.5,1673-Apr-17,-8.521858233333105E-01,-5.306114153737197E-01,-4.391019045053599E-04,8.835488137732224E-03,-1.464301502744940E-02,-1.035651450092975E-05,5.797910917239126E-03,1.003877156043336E+00,2.393497470953601E-04
2332218.5,1673-Apr-18,-8.432267343538227E-01,-5.451761643977252E-01,-4.493929790042705E-04,9.082221979974053E-03,-1.448579779458968E-02,-1.022515090757247E-05,5.799289318785391E-03,1.004115818872742E+00,2.379644754772125E-04
2332219.5,1673-Apr-19,-8.340223260193945E-01,-5.595816491704485E-01,-4.595512461125910E-04,9.326115917539932E-03,-1.432449521643373E-02,-1.009090671223262E-05,5.800659522039845E-03,1.004353062211923E+00,2.365108572862266E-04
2332220.5,1673-Apr-20,-8.245754708572023E-01,-5.738238105804729E-01,-4.695738463209350E-04,9.567104873554430E-03,-1.415915991928182E-02,-9.953824219053955E-06,5.802021133850748E-03,1.004588817988767E+00,2.349894439173209E-04
2332221.5,1673-Apr-21,-8.148891059649238E-01,-5.878986426148750E-01,-4.794579627993514E-04,9.805124785863111E-03,-1.398984547041068E-02,-9.813946500621720E-06,5.803373764292169E-03,1.004823018689691E+00,2.334008007702857E-04
2332222.5,1673-Apr-22,-8.049662319902372E-01,-6.018021932900840E-01,-4.892008222140864E-04,1.004011261844339E-02,-1.381660635795145E-02,-9.671317488091768E-06,5.804717026741013E-03,1.005055597372981E+00,2.317455060597240E-04
2332223.5,1673-Apr-23,-7.948099120994058E-01,-6.155305655629388E-01,-4.987996956100117E-04,1.027200637177922E-02,-1.363949797138339E-02,-9.525982008200045E-06,5.806050537949915E-03,1.005286487681414E+00,2.300241506001513E-04
2332224.5,1673-Apr-24,-7.844232709360618E-01,-6.290799182224671E-01,-5.082518992975351E-04,1.050074509210557E-02,-1.345857658243845E-02,-9.377985756188241E-06,5.807373918121718E-03,1.005515623855149E+00,2.282373385260098E-04
2332225.5,1673-Apr-25,-7.738094935712765E-01,-6.424464667626594E-01,-5.175547956829586E-04,1.072626887956419E-02,-1.327389932616680E-02,-9.227375207715227E-06,5.808686790990193E-03,1.005742940745709E+00,2.263856887304341E-04
2332226.5,1673-Apr-26,-7.629718244459915E-01,-6.556264842363024E-01,-5.267057939827431E-04,1.094851889544160E-02,-1.308552418189960E-02,-9.074197485126828E-06,5.809988783910554E-03,1.005968373831649E+00,2.244698366647099E-04
