JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR
2332164.5,1673-Feb-23,-9.280166104937347E-01,3.479539362020682E-01,2.087888785877505E-04,-6.288197002484085E-03,-1.617843501559417E-02,-1.237313865212137E-05,5.724138375884297E-03,9.911038364690093E-01,2.080493810392872E-04
2332165.5,1673-Feb-24,-9.341632845146471E-01,3.317237427826902E-01,1.963853533344109E-04,-6.004874743611509E-03,-1.628111613146985E-02,-1.243327328927131E-05,5.725347156017454E-03,9.913131302611486E-01,2.105271136806358E-04
2332166.5,1673-Feb-25,-9.400258225761237E-01,3.153933793406355E-01,1.839236112711450E-04,-5.719940279012375E-03,-1.637877110057255E-02,-1.248957019461127E-05,5.726570053560865E-03,9.915248684071009E-01,2.129379792772411E-04
2332167.5,1673-Feb-26,-9.456026581008481E-01,2.989678836151445E-01,1.714074960924694E-04,-5.433484906605455E-03,-1.647137702655977E-02,-1.254201771103904E-05,5.727806680450104E-03,9.917389837155933E-01,2.152813333842334E-04
2332168.5,1673-Feb-27,-9.508923159271604E-01,2.824523153764118E-01,1.588408623541313E-04,-5.145600154227390E-03,-1.655891274343786E-02,-1.259060576185129E-05,5.729056644970405E-03,9.919554083633165E-01,2.175565567426425E-04
2332169.5,1673-Feb-28,-9.558934125222803E-01,2.658517546967070E-01,1.462275739375130E-04,-4.856377746207523E-03,-1.664135881244196E-02,-1.263532575092244E-05,5.730319551908185E-03,9.921740739211603E-01,2.197630573026468E-04
2332170.5,1673-Mar-01,-9.606046561619425E-01,2.491713002251241E-01,1.335715026403018E-04,-4.565909569567442E-03,-1.671869751793633E-02,-1.267617041493765E-05,5.731595002712526E-03,9.923949113821720E-01,2.219002715806640E-04
2332171.5,1673-Mar-02,-9.650248470759430E-01,2.324160674668099E-01,1.208765269247641E-04,-4.274287639621985E-03,-1.679091286260768E-02,-1.271313366185776E-05,5.732882595661672E-03,9.926178511903857E-01,2.239676649917132E-04
2332172.5,1673-Mar-03,-9.691528775589743E-01,2.155911870672307E-01,1.081465308181097E-04,-3.981604064970458E-03,-1.685799056223569E-02,-1.274621043591183E-05,5.734181926028129E-03,9.928428232694085E-01,2.259647310425773E-04
2332173.5,1673-Mar-04,-9.729877320462341E-01,1.987018031017866E-01,9.538540291906263E-05,-3.687951012121209E-03,-1.691991804025665E-02,-1.277539664352887E-05,5.735492586236225E-03,9.930697570497002E-01,2.278909895856406E-04
2332174.5,1673-Mar-05,-9.765284871536644E-01,1.817530713709244E-01,8.259703544045291E-05,-3.393420670209817E-03,-1.697668442220206E-02,-1.280068915750425E-05,5.736814166007991E-03,9.932985814938321E-01,2.297459846198883E-04
2332175.5,1673-Mar-06,-9.797743116831770E-01,1.647501577009030E-01,6.978532321005999E-05,-3.098105216339585E-03,-1.702828052992591E-02,-1.282208589198091E-05,5.738146252496509E-03,9.935292251195769E-01,2.315292822509322E-04
2332176.5,1673-Mar-07,-9.827244665936804E-01,1.476982362505289E-01,5.695416257427608E-05,-2.802096781851911E-03,-1.707469887539064E-02,-1.283958591511922E-05,5.739488430409068E-03,9.937616160212304E-01,2.332404692237439E-04
